country,share_of_top_1,share_of_top_2,share_of_top_3,share_of_top_4,share_of_top_5,share_of_top_6,share_of_top_7,share_of_top_8,share_of_top_9,share_of_top_10
Afghanistan,0.49640636960157863,0.5606938797350052,0.6192724171767988,0.6778509546185925,0.7082876149098665,0.7264110285710575,0.7421946589538072,0.7550547356152358,0.7671945861923906,0.7787917485419171
Albania,0.24395127678104048,0.31508796924020366,0.37390686954017693,0.42610548847382024,0.4775457217371637,0.51341310858847,0.5489686304639035,0.5829292690234721,0.6157462083631111,0.643065580249562
Algeria,0.11710831043859087,0.1568999135890131,0.17909225617377897,0.19606749517854433,0.21250163150580742,0.22684174406051394,0.24049463045743336,0.25366223829965767,0.2661509415924636,0.2765601839273583
American Samoa,0.30433747055865773,0.5157329240214888,0.6229126419138857,0.7075978511128166,0.7638076587186069,0.8181120491174213,0.8675470399872972,0.9055495276153175,0.9389207928652711,0.9691957551538889
Andorra,0.27633874829232663,0.49076841920168807,0.6425721280653582,0.7510787085255171,0.848615601033396,0.8931436068766823,0.934614708309099,0.9665769433661117,0.9857705157511734,1
Angola,0.22708704784825548,0.27622772344205504,0.3249228412923645,0.3703312857199766,0.4153205933975164,0.4525390206580267,0.48468592596215976,0.513965785386115,0.5430389393909772,0.5694215691992403
Anguilla,0.6259612426945556,0.9157182405413719,1,1,1,1,1,1,1,1
Antarctica,1,1,1,1,1,1,1,1,1,1
Antigua & Barbuda,0.6673645354122476,0.7369493953334619,0.7886835073413956,0.8346326547478031,0.8802787801988926,0.9197542767416875,0.95625464863226906,0.9829481281507396,1,1
Argentina,0.12251265264279121,0.1783345464185622,0.2185202688065784,0.24366355072702056,0.26692232706246805,0.288986819012543,0.3055628065695769,0.32023907553752334,0.33320080928096646,0.345875529997332
Armenia,0.4346238812305887,0.493600388563452,0.5337834776269966,0.5521464394534992,0.5683610937329835,0.5825399235433044,0.5957199195209413,0.6071796795941388,0.6174991076872446,0.6269516608941252
Aruba,0.29096587712661737,0.49950532503055345,0.6469378649440338,0.7720615336863955,0.8884556441444063,1,1,1,1,1
Australia,0.12313375860167292,0.23889059765883897,0.29966736930104854,0.3512693213176114,0.3839241543724873,0.39900715692800004,0.40766351584761795,0.41586762807946087,0.4235556805401708,0.4301500836172655
